attendance,away_final_score,away_team,date,g_id,home_final_score,home_team,umpire_1B,umpire_2B,umpire_3B,umpire_HP,venue_name,weather,wind
6509.0,1.0,min,2017-09-05,201702069,2.0,tba,Adrian Johnson,Gabe Morales,Bill Welke,Eric Cooper,Tropicana Field,"72 degrees, dome","0 mph, None"
14377.0,6.0,nya,2017-09-05,201702070,7.0,bal,Sean Barber,Jeff Kellogg,Will Little,James Hoye,Oriole Park at Camden Yards,"72 degrees, overcast","4 mph, In from LF"
22230.0,9.0,phi,2017-09-05,201702071,1.0,nyn,Ramon De Jesus,Sam Holbrook,D.J. Reyburn,Greg Gibson,Citi Field,"78 degrees, partly cloudy","11 mph, Out to LF"
24245.0,6.0,sfn,2017-09-05,201702072,9.0,col,Alan Porter,Chris Segal,Joe West,Andy Fletcher,Coors Field,"67 degrees, partly cloudy","8 mph, Out to CF"
17806.0,8.0,sln,2017-09-05,201702073,4.0,sdn,Ryan Additon,Todd Tichenor,Nick Mahrley,Bill Miller,Petco Park,"77 degrees, partly cloudy","11 mph, L to R"
33009.0,2.0,tor,2017-09-05,201702074,3.0,bos,Shane Livensparger,Jerry Layne,Dan Bellino,Marvin Hudson,Fenway Park,"79 degrees, clear","17 mph, Out to LF"
15364.0,2.0,was,2017-09-05,201702075,1.0,mia,Nic Lentz,Paul Emmel,Quinn Wolcott,Brian O'Nora,Marlins Park,"79 degrees, roof closed","0 mph, None"
10544.0,1.0,ana,2017-09-06,201702076,3.0,oak,Scott Barry,Jordan Baker,Tom Woodring,Mike Everitt,Oakland Coliseum,"70 degrees, sunny","10 mph, L to R"
48612.0,3.0,ari,2017-09-06,201702077,1.0,lan,Alfonso Marquez,Nick Mahrley,Tim Timmons,Chad Fairchild,Dodger Stadium,"74 degrees, clear","5 mph, Out to LF"
17067.0,1.0,chn,2017-09-06,201702078,0.0,pit,Roberto Ortiz,Chris Guccione,Dana DeMuth,Paul Nauert,PNC Park,"67 degrees, cloudy","5 mph, Out to LF"
13403.0,5.0,cle,2017-09-06,201702079,1.0,cha,Mark Carlson,CB Bucknor,John Tumpane,Manny Gonzalez,Guaranteed Rate Field,"61 degrees, cloudy","8 mph, In from LF"
15104.0,5.0,hou,2017-09-06,201702080,3.0,sea,Lance Barrett,Jim Reynolds,Ben May,Mark Wegner,Safeco Field,"79 degrees, partly cloudy","1 mph, Varies"
23755.0,13.0,kca,2017-09-06,201702081,2.0,det,Doug Eddings,Jeff Nelson,John Libka,Laz Diaz,Comerica Park,"64 degrees, overcast","5 mph, R to L"
12626.0,1.0,mil,2017-09-06,201702082,7.0,cin,Marty Foster,Mike Muchlinski,Chad Whitson,Mike Winters,Great American Ball Park,"68 degrees, partly cloudy","10 mph, Out to CF"
7185.0,10.0,min,2017-09-06,201702083,6.0,tba,Gabe Morales,Bill Welke,Eric Cooper,Adrian Johnson,Tropicana Field,"72 degrees, dome","0 mph, None"
19617.0,3.0,phi,2017-09-06,201702084,6.0,nyn,Sam Holbrook,D.J. Reyburn,Greg Gibson,Ramon De Jesus,Citi Field,"63 degrees, overcast","13 mph, In from LF"
26674.0,11.0,sfn,2017-09-06,201702085,3.0,col,Chris Segal,Joe West,Andy Fletcher,Alan Porter,Coors Field,"78 degrees, clear","6 mph, Out to LF"
21411.0,3.0,sln,2017-09-06,201702086,1.0,sdn,Todd Tichenor,Bill Miller,David Rackley,Ryan Additon,Petco Park,"75 degrees, partly cloudy","12 mph, L to R"
19971.0,12.0,tex,2017-09-06,201702087,8.0,atl,Stu Scheurwater,Jerry Meals,Ron Kulpa,Carlos Torres,SunTrust Park,"66 degrees, cloudy","8 mph, R to L"
20364.0,4.0,tex,2017-09-06,201702088,5.0,atl,Jerry Meals,Ron Kulpa,Stu Scheurwater,Ryan Blakney,SunTrust Park,"68 degrees, partly cloudy","13 mph, Out to LF"
33190.0,1.0,tor,2017-09-06,201702089,6.0,bos,Jerry Layne,Dan Bellino,Marvin Hudson,Shane Livensparger,Fenway Park,"65 degrees, cloudy","6 mph, In from RF"
14390.0,8.0,was,2017-09-06,201702090,1.0,mia,Paul Emmel,Quinn Wolcott,Brian O'Nora,Nic Lentz,Marlins Park,"80 degrees, roof closed","0 mph, None"
19201.0,8.0,chn,2017-09-07,201702091,2.0,pit,Chris Guccione,Dana DeMuth,Paul Nauert,Roberto Ortiz,PNC Park,"59 degrees, cloudy","13 mph, Out to CF"
21274.0,2.0,cin,2017-09-07,201702092,7.0,nyn,Dan Bellino,Marvin Hudson,Shane Livensparger,Jerry Layne,Citi Field,"71 degrees, clear","12 mph, Out to RF"
17019.0,11.0,cle,2017-09-07,201702093,2.0,cha,CB Bucknor,Stu Scheurwater,Manny Gonzalez,Mark Carlson,Guaranteed Rate Field,"66 degrees, cloudy","10 mph, Varies"
51492.0,9.0,col,2017-09-07,201702094,1.0,lan,Jim Reynolds,Ben May,Mark Wegner,Lance Barrett,Dodger Stadium,"75 degrees, clear","6 mph, L to R"
23561.0,5.0,mia,2017-09-07,201702095,6.0,atl,Mike Muchlinski,Chad Whitson,Mike Winters,Marty Foster,SunTrust Park,"72 degrees, clear","7 mph, R to L"
26485.0,4.0,min,2017-09-07,201702096,2.0,kca,Joe West,Andy Fletcher,Alan Porter,Chris Segal,Kauffman Stadium,"75 degrees, clear","4 mph, R to L"
14946.0,9.0,nya,2017-09-07,201702097,1.0,bal,Jeff Kellogg,Will Little,James Hoye,Sean Barber,Oriole Park at Camden Yards,"70 degrees, partly cloudy","10 mph, L to R"
26267.0,3.0,phi,2017-09-07,201702098,4.0,was,Quinn Wolcott,Brian O'Nora,Nic Lentz,Paul Emmel,Nationals Park,"70 degrees, clear","9 mph, Out to RF"
21334.0,0.0,sln,2017-09-07,201702099,3.0,sdn,Bill Miller,David Rackley,Ryan Additon,Todd Tichenor,Petco Park,"75 degrees, clear","12 mph, L to R"
21396.0,3.0,ana,2017-09-08,201702100,4.0,sea,David Rackley,Ryan Additon,Todd Tichenor,Bill Miller,Safeco Field,"66 degrees, overcast","1 mph, In from LF"
30090.0,0.0,bal,2017-09-08,201702101,5.0,cle,Paul Nauert,John Libka,Chris Guccione,Dana DeMuth,Progressive Field,"64 degrees, cloudy","11 mph, In from CF"
25864.0,1.0,cin,2017-09-08,201702102,5.0,nyn,Marvin Hudson,Shane Livensparger,Jerry Layne,Dan Bellino,Citi Field,"69 degrees, partly cloudy","11 mph, Out to RF"
53632.0,5.0,col,2017-09-08,201702103,4.0,lan,Ben May,Mark Wegner,Lance Barrett,Jim Reynolds,Dodger Stadium,"74 degrees, clear","5 mph, Out to CF"
31961.0,5.0,det,2017-09-08,201702104,4.0,tor,Chad Fairchild,Roberto Ortiz,Kerwin Danley,Alfonso Marquez,Rogers Centre,"61 degrees, clear","11 mph, In from CF"
12288.0,8.0,hou,2017-09-08,201702105,9.0,oak,D.J. Reyburn,Greg Gibson,Ramon De Jesus,Sam Holbrook,Oakland Coliseum,"64 degrees, partly cloudy","11 mph, Out to RF"
30056.0,7.0,mia,2017-09-08,201702106,1.0,atl,Chad Whitson,Mike Winters,Marty Foster,Mike Muchlinski,SunTrust Park,"72 degrees, clear","8 mph, L to R"
41020.0,2.0,mil,2017-09-08,201702107,0.0,chn,Ron Kulpa,Chris Conroy,Ryan Blakney,Jerry Meals,Wrigley Field,"65 degrees, cloudy","8 mph, R to L"
31879.0,8.0,min,2017-09-08,201702108,5.0,kca,Andy Fletcher,Alan Porter,Chris Segal,Joe West,Kauffman Stadium,"82 degrees, clear","8 mph, R to L"
35883.0,5.0,nya,2017-09-08,201702109,11.0,tex,Tim Timmons,Manny Gonzalez,Mark Carlson,CB Bucknor,Globe Life Park in Arlington,"82 degrees, clear","8 mph, L to R"
29837.0,10.0,phi,2017-09-08,201702110,11.0,was,Will Little,James Hoye,Sean Barber,Jeff Kellogg,Nationals Park,"74 degrees, partly cloudy","5 mph, In from LF"
40966.0,1.0,pit,2017-09-08,201702111,4.0,sln,Jeff Nelson,Cory Blaser,Laz Diaz,Doug Eddings,Busch Stadium,"79 degrees, clear","3 mph, In from RF"
27988.0,10.0,sdn,2017-09-08,201702112,6.0,ari,Jordan Baker,Tom Woodring,Mike Everitt,Bill Welke,Chase Field,"79 degrees, roof closed","0 mph, None"
16852.0,9.0,sfn,2017-09-08,201702113,2.0,cha,Stu Scheurwater,Eric Cooper,Adrian Johnson,Gabe Morales,Guaranteed Rate Field,"63 degrees, cloudy","12 mph, L to R"
